"","x"
"1","IPG"
"2","SJM"
"3","SRE"
"4","TRMB"
"5","HST"
"6","GPN"
"7","ALL"
"8","COF"
"9","AMD"
"10","XOM"
"11","GL"
"12","RL"
"13","ROP"
"14","CE"
"15","BAC"
"16","WFC"
"17","CLX"
"18","PG"
"19","KEY"
"20","IDXX"
"21","PH"
"22","KO"
"23","FTNT"
"24","AAL"
"25","ANTM"
"26","VMC"
"27","OKE"
"28","ADI"
"29","PTC"
"30","ED"
"31","GIS"
"32","APH"
"33","DLTR"
"34","NUE"
"35","OXY"
"36","TRV"
"37","SYY"
"38","AWK"
"39","NTAP"
"40","ADBE"
"41","IFF"
"42","VNO"
"43","TPR"
"44","ROST"
"45","CDNS"
"46","DRI"
"47","CTAS"
"48","DG"
"49","ES"
"50","HAL"
"51","CBRE"
"52","EXPE"
"53","VRSN"
"54","KLAC"
"55","EXR"
"56","GD"
"57","IBM"
"58","DTE"
"59","RCL"
"60","DXCM"
"61","WELL"
"62","HAS"
"63","MA"
"64","DHI"
"65","CNC"
"66","MKTX"
"67","BKNG"
"68","TGT"
"69","D"
"70","MTCH"
"71","CSX"
"72","NOC"
"73","CPRT"
"74","REGN"
"75","AOS"
"76","DGX"
"77","LYV"
"78","NTRS"
"79","CAH"
"80","PNW"
"81","DVN"
"82","DAL"
"83","CVS"
"84","ODFL"
"85","NWL"
"86","SO"
"87","FITB"
"88","RTX"
"89","MDT"
"90","GOOG"
"91","DHR"
"92","DVA"
"93","KIM"
"94","CMS"
"95","ABC"
"96","LIN"
"97","LLY"
"98","MOS"
"99","GOOGL"
"100","NRG"
"101","TFX"
"102","WDC"
"103","UHS"
"104","PVH"
"105","FFIV"
"106","FRT"
"107","UPS"
"108","FDX"
"109","AVY"
"110","ALB"
"111","WRB"
"112","CSCO"
"113","ETR"
"114","CERN"
"115","FIS"
"116","PSA"
"117","TER"
"118","NSC"
"119","HSIC"
"120","NEE"
"121","AKAM"
"122","CAT"
"123","CHTR"
"124","TXN"
"125","MOH"
"126","DUK"
"127","K"
"128","HSY"
"129","NVR"
"130","SWKS"
"131","SEE"
"132","HD"
"133","IEX"
"134","JNJ"
"135","TYL"
"136","CME"
"137","NKE"
"138","TFC"
"139","SPG"
"140","MTB"
"141","ORCL"
"142","KR"
"143","CTRA"
"144","MGM"
"145","JKHY"
"146","QCOM"
"147","REG"
"148","HIG"
"149","L"
"150","ORLY"
"151","WY"
"152","JNPR"
"153","MHK"
"154","GNRC"
"155","TSN"
"156","AME"
"157","RF"
"158","MET"
"159","C"
"160","TECH"
"161","BXP"
"162","UNP"
"163","T"
"164","TDG"
"165","MO"
"166","AFL"
"167","VFC"
"168","PAYX"
"169","HRL"
"170","CMI"
"171","INTC"
"172","CHD"
"173","CAG"
"174","HPQ"
"175","CPB"
"176","PFG"
"177","MAA"
"178","COP"
"179","MSI"
"180","AES"
"181","PPG"
"182","MMC"
"183","PKG"
"184","PM"
"185","PRU"
"186","BSX"
"187","IP"
"188","CCL"
"189","CMCSA"
"190","IRM"
"191","EMN"
"192","TMUS"
"193","ACN"
"194","MSFT"
"195","SBNY"
"196","CVX"
"197","AIZ"
"198","EVRG"
"199","DPZ"
"200","EBAY"
"201","JPM"
"202","EOG"
"203","GLW"
"204","SLB"
"205","EW"
"206","FCX"
"207","KMX"
"208","TAP"
"209","DFS"
"210","HOLX"
"211","SCHW"
"212","LNT"
"213","OMC"
"214","EFX"
"215","HUM"
"216","ADP"
"217","CB"
"218","AVGO"
"219","PXD"
"220","BRO"
"221","SPGI"
"222","GILD"
"223","DXC"
"224","CHRW"
"225","TT"
"226","TMO"
"227","LRCX"
"228","STT"
"229","INTU"
"230","CINF"
"231","ITW"
"232","EQR"
"233","BAX"
"234","MMM"
"235","ESS"
"236","TROW"
"237","ANSS"
"238","UDR"
"239","URI"
"240","ISRG"
"241","MAR"
"242","AAP"
"243","GPC"
"244","BWA"
"245","XEL"
"246","PGR"
"247","AMT"
"248","SBUX"
"249","EIX"
"250","MDLZ"
